Item #,Part Name,Quantity,Material,Mass (g),Volume,SIZE,,
,,,,,,L,W,H
88,Fuel Channel_C-88,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
89,Fuel Channel_C-89,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
90,Fuel Channel_C-90,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
91,Fuel Channel_C-91,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
92,Fuel Channel_C-92,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
93,Fuel Channel_C-93,1,Stainless Steel AISI 405,1081.4 ,135.2 ,10.0 ,8.6 ,8.2 
94,Fuel Channel_C-94,1,Stainless Steel AISI 405,1286.5 ,160.8 ,10.0 ,8.6 ,8.2 
95,Fuel Channel_C-95,1,Stainless Steel AISI 405,1375.0 ,171.9 ,10.0 ,8.8 ,8.5 
96,Fuel Channel_C-96,1,Stainless Steel AISI 405,1809.0 ,226.1 ,10.0 ,8.8 ,8.4 
97,Fuel Channel_C-97,1,Stainless Steel AISI 405,1984.3 ,248.0 ,10.0 ,8.8 ,8.4 
98,Fuel Channel_C-98,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
99,Fuel Channel_C-99,1,Stainless Steel AISI 405,1174.5 ,146.8 ,10.0 ,9.0 ,8.7 
100,Fuel Channel_C-100,1,Stainless Steel AISI 405,1334.0 ,166.7 ,10.0 ,8.6 ,8.3 
101,Fuel Channel_C-101,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
102,Fuel Channel_C-102,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
103,Fuel Channel_C-103,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
104,Fuel Channel_C-104,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
105,Fuel Channel_C-105,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
106,Fuel Channel_C-106,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
107,Fuel Channel_C-107,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
108,Fuel Channel_C-108,1,Stainless Steel AISI 405,1578.9 ,197.4 ,10.0 ,8.4 ,8.0 
109,Fuel Channel_C-109,1,Stainless Steel AISI 405,1068.1 ,133.5 ,10.0 ,8.4 ,8.0 
110,Fuel Channel_C-110,1,Stainless Steel AISI 405,1909.9 ,238.7 ,10.0 ,8.7 ,8.3 
111,Fuel Channel_C-111,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
112,Fuel Channel_C-112,1,Stainless Steel AISI 405,971.6 ,121.5 ,10.0 ,8.8 ,8.4 
113,Fuel Channel_C-113,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
114,Fuel Channel_C-114,1,Stainless Steel AISI 405,2289.0 ,286.1 ,10.0 ,8.4 ,8.4 
115,Fuel Channel_C-115,1,Stainless Steel AISI 405,2125.3 ,265.7 ,10.0 ,9.8 ,8.3 
116,Fuel Channel_C-116,1,Stainless Steel AISI 405,1991.5 ,248.9 ,10.0 ,8.7 ,8.7 
117,Fuel Channel_C-117,1,Stainless Steel AISI 405,2040.8 ,255.1 ,10.0 ,8.8 ,8.8 
118,Fuel Channel_C-118,1,Stainless Steel AISI 405,1816.2 ,227.0 ,10.0 ,8.7 ,8.7 
119,Fuel Channel_C-119,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
120,Fuel Channel_C-120,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
121,Fuel Channel_C-121,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
122,Fuel Channel_C-122,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
123,Fuel Channel_C-123,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
124,Fuel Channel_C-124,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
125,Fuel Channel_C-125,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
126,Fuel Channel_C-126,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
127,Fuel Channel_C-127,1,Stainless Steel AISI 405,1343.9 ,168.0 ,10.0 ,7.5 ,7.5 
128,Fuel Channel_C-128,1,Stainless Steel AISI 405,1374.0 ,171.7 ,10.0 ,8.6 ,8.6 
129,Fuel Channel_C-129,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
130,Fuel Channel_C-130,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
131,Fuel Channel_C-131,1,Stainless Steel AISI 405,1105.6 ,138.2 ,10.0 ,9.0 ,9.0 
132,Fuel Channel_C-132,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
133,Fuel Channel_C-133,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
